approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,300,3.0713090896606445,0.4700033664703369,2.6087193489074707,-61.7805290222168,"[np.float64(0.02348798255308715), np.float64(0.022321503917787533), np.float64(0.8537306625071264), np.float64(0.5054707135587907), np.float64(0.7714874015303407), np.float64(0.34014703752509456), np.float64(0.5517031049442173), np.float64(0.4008081932148607), np.float64(0.5757522719570326), np.float64(0.8930426331959825)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933820826978691,300,4.760593414306641,0.47235989570617676,4.293745994567871,-66.4804458618164,"[np.float64(0.2284673901362524), np.float64(0.5823595655755831), np.float64(0.5943921172759855), np.float64(0.5934706384752094), np.float64(0.07148283313028114), np.float64(0.3418018033947525), np.float64(0.4812839419949344), np.float64(0.8853680503326579), np.float64(0.0694239703364361), np.float64(0.05600172522205882)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177193382560680035175,300,5.28139066696167,0.528752326965332,4.782907485961914,-63.29708480834961,"[np.float64(0.7482112691562727), np.float64(0.29428493820754253), np.float64(0.5890928988371001), np.float64(0.776254199941728), np.float64(0.7820566817509974), np.float64(0.8924097996666585), np.float64(0.28444254514132183), np.float64(0.9186461459058615), np.float64(0.33802867004751147), np.float64(0.032664701989804534)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177193383093419711114,300,4.770723342895508,0.5456850528717041,4.260842800140381,-64.52108764648438,"[np.float64(0.6849546162707404), np.float64(0.13090053365281518), np.float64(0.19060240479329027), np.float64(0.8042141706606315), np.float64(0.37990091291388584), np.float64(0.279531793996452), np.float64(0.6381112031623668), np.float64(0.794433988494425), np.float64(0.9933868597853011), np.float64(0.0380866553232011)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177193383575517562143,300,7.480478525161743,0.46758174896240234,7.0426506996154785,-66.39250183105469,"[np.float64(0.4666665255373883), np.float64(0.5925143834532723), np.float64(0.6377656498939643), np.float64(0.7420786478384609), np.float64(0.5421463704677073), np.float64(0.3124669735699972), np.float64(0.5747875552599035), np.float64(0.9091158093302634), np.float64(0.6425685226056306), np.float64(0.04326774509580733)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),17719338432815218047,300,13.009216070175171,5.258653402328491,7.779467344284058,-68.48103332519531,"[np.float64(0.036770228223810306), np.float64(0.8886600948375987), np.float64(0.03719248973049788), np.float64(0.21202393696600214), np.float64(0.4823515097020511), np.float64(0.7003278969408336), np.float64(0.515138081810185), np.float64(0.9273086815765672), np.float64(0.647829241633281), np.float64(0.26265891521928864)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177193385633490131715,300,9.79016900062561,5.138368129730225,4.686148643493652,-63.56298828125,"[np.float64(0.4187530909144652), np.float64(0.0201521536831913), np.float64(0.3766099115258822), np.float64(0.8632157528744951), np.float64(0.9901873399834143), np.float64(0.15053346615956784), np.float64(0.7623077988514733), np.float64(0.6707712803809533), np.float64(0.515488836173604), np.float64(0.5158210300733492)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177193386617070159789,300,8.941430568695068,5.07427978515625,3.892620086669922,-65.42059326171875,"[np.float64(0.2676065507065819), np.float64(0.9930148191113741), np.float64(0.007191780071934217), np.float64(0.12725243837612965), np.float64(0.49976541226173643), np.float64(0.9981347770728874), np.float64(0.36577858249922923), np.float64(0.8771746879481157), np.float64(0.9402473982473831), np.float64(0.6346814231153298)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),1771933875150263312632,300,8.298093795776367,4.940871953964233,3.3882601261138916,-67.4713134765625,"[np.float64(0.8095160136134197), np.float64(0.20891494350147283), np.float64(0.44724306448887213), np.float64(0.8408069389794398), np.float64(0.8621207829786207), np.float64(0.5817315508418159), np.float64(0.6936405803118444), np.float64(0.5747122164780829), np.float64(0.23602772302074165), np.float64(0.03416760966497862)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177193388349118619259,300,8.506454944610596,4.9269468784332275,3.608414888381958,-62.911041259765625,"[np.float64(0.9761548367792663), np.float64(0.05679609860536412), np.float64(0.5036237537178541), np.float64(0.10939398258285302), np.float64(0.28758543917435886), np.float64(0.9609776274763757), np.float64(0.978658519221317), np.float64(0.5803130035995903), np.float64(0.47502698924296227), np.float64(0.3134395042075688)]"
